1	('NN',)	105090
2	('SENT',)	84227
3	('PP',)	82262
4	('RB',)	51623
5	('NP',)	47955
6	('IN',)	41480
7	('JJ',)	37531
8	('DT',)	37494
9	('CC',)	27666
10	(',',)	25479
11	('VV',)	25156
12	('VVP',)	24701
13	('VVD',)	21155
14	('NNS',)	18126
15	('PP$',)	18004
16	('TO',)	15271
17	('VBZ',)	12546
18	('VBD',)	12362
19	('MD',)	10739
20	('POS',)	6456
21	('CD',)	6319
22	('VVN',)	5908
23	('VHP',)	5219
24	('VVG',)	4631
25	("''",)	4018
26	('WRB',)	3863
27	('VBP',)	3578
28	('``',)	3375
29	('VHD',)	2603
30	('RP',)	2589
31	('VH',)	2374
32	('IN/that',)	2370
33	('VVZ',)	2327
34	('VB',)	1859
35	('EX',)	1761
36	('WP',)	1354
37	('JJR',)	1290
38	('WDT',)	1209
39	('VHZ',)	1129
40	('RBR',)	1045
41	('JJS',)	762
42	('RBS',)	578
43	(':',)	537
44	('UH',)	521
45	('(',)	451
46	(')',)	446
47	('VBN',)	330
48	('PDT',)	279
49	('VHG',)	161
50	('LS',)	159
51	('FW',)	149
52	('SYM',)	91
53	('VHN',)	66
54	('VBG',)	63
55	('WP$',)	43
56	('NPS',)	41
57	('NN', 'SENT')	31398
58	('DT', 'NN')	23298
59	('PP', 'VVP')	19740
60	('PP', 'VVD')	14423
61	('NP', 'SENT')	14269
62	('PP$', 'NN')	13531
63	('JJ', 'NN')	12909
64	('NN', 'IN')	11594
65	('NN', 'NN')	11300
66	('IN', 'DT')	9764
67	('NN', ',')	9676
68	('PP', 'MD')	9211
69	(',', 'PP')	9204
70	('CC', 'PP')	8974
71	('JJ', 'SENT')	8747
72	('RB', 'JJ')	8620
73	('TO', 'VV')	8335
74	('IN', 'PP')	8332
75	('PP', 'VBD')	7459
76	('IN', 'NN')	7295
77	('RB', 'SENT')	6922
78	('RB', 'VV')	6820
79	('NN', 'CC')	6391
80	('RB', 'PP')	6324
81	('NP', 'NP')	5865
82	('MD', 'VV')	5675
83	('VVP', 'RB')	5260
84	('NN', 'VBZ')	5253
85	('PP', 'SENT')	5153
86	('NNS', 'SENT')	5108
87	('DT', 'JJ')	4914
88	('PP', 'RB')	4517
89	('POS', 'NN')	4411
90	('IN', 'PP$')	4348
91	('IN', 'NP')	4279
92	('VBD', 'RB')	4255
93	('NN', 'RB')	4048
94	('RB', ',')	3986
95	('VVP', 'NN')	3932
96	('CC', 'NN')	3717
97	('JJ', 'NNS')	3707
98	('VBZ', 'RB')	3693
99	('RB', 'RB')	3575
100	('VV', 'NN')	3523
101	('VV', 'DT')	3484
102	('PP', 'VHP')	3416
103	('VVP', 'TO')	3406
104	('NP', 'IN')	3388
105	('VV', 'PP')	3276
106	(',', 'CC')	3248
107	('NP', ',')	3195
108	('MD', 'RB')	3184
109	('CC', 'NP')	3133
110	('PP', 'VBZ')	3127
111	('NP', 'NN')	3026
112	('DT', 'NP')	3019
113	('VVD', 'DT')	2851
114	('JJ', 'IN')	2757
115	('VVD', 'TO')	2748
116	('VVD', 'RB')	2688
117	('NN', 'NP')	2605
118	('PP', 'POS')	2602
119	('VVP', 'PP')	2435
120	('WRB', 'PP')	2400
121	('NN', 'VVD')	2335
122	('DT', 'NNS')	2249
123	('NP', 'POS')	2180
124	('NP', 'CC')	2145
125	(',', 'NN')	2055
126	(',', 'NP')	2055
127	(',', 'RB')	2043
128	('VVD', 'PP')	2004
129	('NNS', 'IN')	1997
130	('JJ', 'NP')	1993
131	('NN', 'VBD')	1987
132	('VHP', 'NN')	1969
133	('PP', 'VBP')	1952
134	('NN', 'PP')	1944
135	('VVP', 'DT')	1921
136	('VV', 'SENT')	1913
137	('IN', 'JJ')	1891
138	('VBZ', 'JJ')	1879
139	('NP', 'VBZ')	1876
140	('RB', 'NP')	1843
141	('CD', 'NNS')	1839
142	('PP$', 'NNS')	1733
143	('VBD', 'JJ')	1733
144	('NN', 'TO')	1725
145	('NNS', ',')	1706
146	('CD', 'NN')	1697
147	('VV', 'TO')	1690
148	('RB', 'VVP')	1673
149	('RB', 'IN')	1645
150	('NP', 'PP')	1625
151	('PP', 'VHD')	1618
152	("''", 'SENT')	1607
153	('VV', 'IN')	1546
154	('NNS', 'VVP')	1531
155	('VV', 'NP')	1522
156	('VV', 'PP$')	1512
157	('VBZ', 'NP')	1502
158	('JJ', ',')	1502
159	('VVP', 'NP')	1497
160	('TO', 'NP')	1493
161	('RB', 'VH')	1492
162	('NN', 'NNS')	1492
163	('NN', 'JJ')	1484
164	('VVD', 'NP')	1467
165	('CC', 'JJ')	1448
166	('VVN', 'IN')	1438
167	('CC', 'DT')	1424
168	('RB', 'VHP')	1417
169	('NN', 'DT')	1416
170	('NP', 'VVD')	1405
171	('CC', 'RB')	1402
172	('IN', 'NNS')	1375
173	('NN', 'POS')	1356
174	('RB', 'VVN')	1353
175	('JJ', 'CC')	1349
176	('``', 'NP')	1349
177	('VVN', 'SENT')	1339
178	('VV', 'RB')	1334
179	('VV', 'JJ')	1332
180	('VVD', 'IN')	1324
181	('VBD', 'VVN')	1324
182	('JJ', 'TO')	1319
183	('VBZ', 'DT')	1300
184	('NP', 'VBD')	1300
185	('VVD', 'NN')	1234
186	('NP', "''")	1211
187	('PP', 'IN')	1209
188	('CC', ',')	1195
189	('IN', 'CD')	1191
190	('PP$', 'NP')	1173
191	('CC', 'PP$')	1173
192	('POS', 'NNS')	1153
193	('IN/that', 'PP')	1133
194	(',', 'IN')	1127
195	('NNS', 'CC')	1109
196	('VV', 'RP')	1099
197	('PP', 'NP')	1091
198	('JJ', 'JJ')	1090
199	('VVP', 'JJ')	1082
200	('PP$', 'JJ')	1076
201	('NP', 'RB')	1073
202	('TO', 'NN')	1073
203	('VH', 'NN')	1057
204	('VVD', 'JJ')	1055
205	('VHD', 'DT')	1029
206	('TO', 'DT')	1012
